VAR_TYPE	MIN_QUAL	PREC	RECALL	F1_SCORE	F1_QSCORE	TRUTH_TOTAL	TRUTH_TP	TRUTH_FN	QUERY_TOTAL	QUERY_TP	QUERY_FP
SNP	0	0.983432	0.926061	0.953885	13.361541	9873	9143	730	9295	9141	154
SNP	1	1.000000	0.000000	0.000000	0.000000	9873	0	9873	0	0	0
SNP	2	1.000000	0.000000	0.000000	0.000000	9873	0	9873	0	0	0
SNP	3	1.000000	0.000000	0.000000	0.000000	9873	0	9873	0	0	0
SNP	4	1.000000	0.000000	0.000000	0.000000	9873	0	9873	0	0	0
SNP	5	1.000000	0.000000	0.000000	0.000000	9873	0	9873	0	0	0
SNP	6	1.000000	0.000000	0.000000	0.000000	9873	0	9873	0	0	0
SNP	7	1.000000	0.000000	0.000000	0.000000	9873	0	9873	0	0	0
SNP	8	1.000000	0.000000	0.000000	0.000000	9873	0	9873	0	0	0
SNP	9	1.000000	0.000000	0.000000	0.000000	9873	0	9873	0	0	0
SNP	10	1.000000	0.000000	0.000000	0.000000	9873	0	9873	0	0	0
SNP	11	1.000000	0.000000	0.000000	0.000000	9873	0	9873	0	0	0
SNP	12	1.000000	0.000000	0.000000	0.000000	9873	0	9873	0	0	0
SNP	13	1.000000	0.000000	0.000000	0.000000	9873	0	9873	0	0	0
SNP	14	1.000000	0.000000	0.000000	0.000000	9873	0	9873	0	0	0
SNP	15	1.000000	0.000000	0.000000	0.000000	9873	0	9873	0	0	0
SNP	16	1.000000	0.000000	0.000000	0.000000	9873	0	9873	0	0	0
SNP	17	1.000000	0.000000	0.000000	0.000000	9873	0	9873	0	0	0
SNP	18	1.000000	0.000000	0.000000	0.000000	9873	0	9873	0	0	0
SNP	19	1.000000	0.000000	0.000000	0.000000	9873	0	9873	0	0	0
SNP	20	1.000000	0.000000	0.000000	0.000000	9873	0	9873	0	0	0
SNP	21	1.000000	0.000000	0.000000	0.000000	9873	0	9873	0	0	0
SNP	22	1.000000	0.000000	0.000000	0.000000	9873	0	9873	0	0	0
SNP	23	1.000000	0.000000	0.000000	0.000000	9873	0	9873	0	0	0
SNP	24	1.000000	0.000000	0.000000	0.000000	9873	0	9873	0	0	0
SNP	25	1.000000	0.000000	0.000000	0.000000	9873	0	9873	0	0	0
SNP	26	1.000000	0.000000	0.000000	0.000000	9873	0	9873	0	0	0
SNP	27	1.000000	0.000000	0.000000	0.000000	9873	0	9873	0	0	0
SNP	28	1.000000	0.000000	0.000000	0.000000	9873	0	9873	0	0	0
SNP	29	1.000000	0.000000	0.000000	0.000000	9873	0	9873	0	0	0
SNP	30	1.000000	0.000000	0.000000	0.000000	9873	0	9873	0	0	0
SNP	31	1.000000	0.000000	0.000000	0.000000	9873	0	9873	0	0	0
SNP	32	1.000000	0.000000	0.000000	0.000000	9873	0	9873	0	0	0
SNP	33	1.000000	0.000000	0.000000	0.000000	9873	0	9873	0	0	0
SNP	34	1.000000	0.000000	0.000000	0.000000	9873	0	9873	0	0	0
