t,utime,stime,nthreads,run_delay_ns
0.001,0,0,1,0
0.201,19,0,1,84598
0.401,38,1,1,84598
0.601,57,2,1,84598
0.801,75,4,1,84598
1.001,95,4,1,84598
1.201,114,4,1,95028
1.401,134,5,1,95028
1.601,153,6,1,95028
1.801,172,7,1,95028
2.001,191,8,1,95028
2.201,210,9,1,134011
2.401,229,10,1,227146
2.601,248,11,1,234971
2.801,266,12,1,234971
3.001,286,13,1,234971
3.201,305,14,1,248667
3.401,324,15,1,248667
3.601,344,15,1,248667
3.801,363,16,1,248667
4.001,383,16,1,248667
4.201,402,17,1,373120
4.401,421,17,1,465914
4.601,441,18,1,507481
4.801,461,18,1,507481
5.001,480,19,1,507481
5.201,499,20,1,521607
5.401,518,21,1,521607
5.601,538,21,1,521607
5.801,556,23,1,521607
6.001,575,24,1,521607
6.201,594,25,1,564378
6.401,613,26,1,642955
6.601,632,27,1,650158
6.801,651,27,1,650158
7.001,670,29,1,650158
7.201,689,29,1,662842
7.401,709,30,1,662842
7.601,728,30,1,662842
7.801,748,31,1,662842
8.001,767,32,1,662842
8.201,787,32,1,773179
8.401,806,33,1,845865
8.601,825,34,1,905216
8.801,845,34,1,905216
9.001,864,35,1,905216
9.201,884,35,1,923290
9.401,903,35,1,923290
9.601,923,36,1,923290
9.801,942,37,1,923290
10.001,962,37,1,923290
10.201,981,37,1,936205
10.401,1000,38,1,1014843
10.601,1019,40,1,1023369
10.801,1038,41,1,1023369
11.001,1057,42,1,1023369
11.201,1074,45,1,1040782
11.401,1092,47,1,1040782
11.601,1112,47,1,1040782
11.801,1131,48,1,1040782
12.001,1147,52,1,1040782
12.201,1159,60,1,1135420
12.401,1164,75,1,1230268
12.601,1177,82,1,1301291
12.801,1197,82,1,1301291
13.001,1217,82,1,1301291
13.201,1237,82,1,1322521
13.401,1257,82,1,1322521
13.601,1277,82,1,1322521
13.801,1296,83,1,1322521
14.001,1314,85,1,1322521
14.201,1332,87,1,1336166
14.401,2254,91,67,26076544
14.601,3064,104,1,1336166
14.801,4012,131,65,1401618
15.001,5185,171,1,1336166
15.201,5203,173,1,1372184
15.401,5221,174,1,1372184
15.601,5890,176,67,1596966
15.801,6989,181,9,1372184
16.001,7373,956,67,2330718
16.201,7910,1699,67,3011005
16.401,8664,2225,67,4022712
16.601,9859,2310,67,4309480
16.801,11127,2321,67,5704598
17.001,12404,2325,67,5880858
17.201,13678,2331,67,6196388
17.401,14702,2334,31,2612656
17.601,15008,2373,36,1737687
17.801,15397,3150,67,2393880
18.001,15609,4211,67,2499718
18.201,15919,5142,67,2653907
18.401,16220,6000,67,3039819
18.601,16579,6835,67,3982520
18.801,16962,7606,67,4721396
19.001,17324,8317,67,5046583
19.201,17688,8985,67,5576307
19.401,18053,9625,67,6076857
19.601,18412,10347,67,6729810
19.801,18874,10763,67,6899447
20.001,19456,11265,67,7253471
20.201,19962,11722,67,7944257
20.401,20531,12130,67,8459414
20.601,21128,12607,67,9074203
20.801,21633,13136,62,8815793
21.001,21987,13639,56,8214418
21.201,22368,14070,54,9087837
21.401,22759,14490,46,7016753
21.601,22953,14757,35,7074593
21.801,23131,15062,32,6597510
22.001,23352,15232,30,6175214
22.201,23596,15367,26,6083787
22.401,23829,15464,23,6280666
22.601,24033,15539,19,6453502
22.801,24220,15583,15,5454179
23.001,24405,15614,13,4747974
23.201,24583,15626,12,4703679
23.401,24717,15634,9,4323294
23.601,24828,15641,8,3900908
23.801,24908,15653,7,3458328
24.001,24988,15653,7,3517108
24.201,25067,15653,6,3355655
24.401,25112,15658,5,3775572
24.601,25187,15676,36,3412299
24.801,25646,15827,36,3794565
25.001,25868,16047,26,3873622
25.201,26040,16206,22,4942393
25.401,26285,16262,18,5646134
25.601,26486,16281,12,4610112
25.801,26648,16286,10,4587009
26.001,26757,16287,8,4052428
26.201,26819,16291,5,3257108
26.401,26871,16295,7,3233745
26.601,26914,16297,5,3256909
26.801,26934,16298,3,3244385
27.001,26954,16298,3,3244385
27.201,26974,16298,3,3244385
27.401,26994,16298,3,3489234
27.601,27014,16298,3,3489234
27.801,27197,16359,34,2807022
28.001,27544,16564,33,3551546
28.201,27763,16809,23,2888945
28.401,27917,16952,19,2115647
28.601,28135,17019,15,2436446
28.801,28271,17054,11,3049135
29.001,28395,17080,9,2857067
29.201,28502,17096,7,1640827
29.401,28587,17111,7,2295915
29.601,28654,17126,6,2049353
29.801,28703,17138,4,1991024
30.001,28735,17147,4,1991024
30.201,28766,17155,4,2003297
30.401,28798,17163,4,2171273
30.601,28829,17173,4,2362141
30.801,28861,17181,4,2377821
31.001,28892,17189,4,2377821
31.201,28924,17197,4,2377821
31.401,28941,17208,3,1876571
31.601,28954,17216,3,1876571
31.801,28965,17225,3,2024919
32.001,28978,17232,3,2024919
32.201,28991,17239,3,2090452
