t,utime,stime,nthreads,run_delay_ns
0.001,0,0,1,15820
0.201,18,1,1,73488
0.401,38,1,1,73488
0.601,57,2,1,73488
0.801,76,3,1,73488
1.001,96,3,1,86853
1.201,115,4,1,86853
1.401,134,5,1,86853
1.601,152,7,1,86853
1.801,172,7,1,96171
2.001,191,8,1,128361
2.201,211,8,1,128361
2.401,230,9,1,128361
2.601,250,9,1,128361
2.801,269,10,1,128361
3.001,289,10,1,146485
3.201,308,11,1,146485
3.401,327,12,1,146485
3.601,346,13,1,248246
3.801,366,13,1,248246
4.001,385,14,1,257894
4.201,404,15,1,312937
4.401,424,15,1,312937
4.601,443,16,1,312937
4.801,462,17,1,312937
5.001,481,18,1,351870
5.201,501,18,1,351870
5.401,520,19,1,418405
5.601,539,20,1,418405
5.801,558,21,1,426881
6.001,577,22,1,442590
6.201,596,23,1,442590
6.401,616,23,1,442590
6.601,635,24,1,442590
6.801,655,24,1,442590
7.001,674,25,1,517951
7.201,694,25,1,517951
7.401,713,26,1,517951
7.601,732,27,1,530694
7.801,751,28,1,674985
8.001,770,29,1,703478
8.201,790,29,1,758381
8.401,809,30,1,758381
8.601,828,30,1,758381
8.801,848,31,1,758381
9.001,867,32,1,771536
9.201,887,32,1,771536
9.401,906,33,1,836067
9.601,925,34,1,836067
9.801,945,34,1,845835
10.001,964,35,1,857317
10.201,984,35,1,857317
10.401,1002,37,1,925595
10.601,1022,37,1,925595
10.801,1040,39,1,925595
11.001,1056,42,1,997731
11.201,1074,45,1,997731
11.401,1094,45,1,997731
11.601,1113,46,1,1074135
11.801,1132,47,1,1074135
12.001,1148,51,1,1094353
12.201,1153,65,1,1165607
12.401,1157,81,1,1165607
12.601,1177,81,1,1165607
12.801,1197,81,1,1165607
13.001,1217,81,1,1182338
13.201,1237,81,1,1182338
13.401,1257,81,1,1182338
13.601,1277,81,1,1182338
13.801,1296,83,1,1235467
14.001,1315,84,1,1245526
14.201,1333,86,3,1245526
14.401,2553,91,67,5547055
14.601,3057,108,1,1245526
14.801,4282,125,65,1580322
15.001,4941,137,1,1304827
15.201,4959,139,1,1304827
15.401,4978,140,1,1304827
15.601,6025,142,67,2407289
15.801,6712,441,67,12528268
16.001,7100,1319,67,13452569
16.201,7558,2140,67,14936141
16.401,8289,2665,67,19933089
16.601,9479,2750,67,22618320
16.801,10745,2765,67,23323151
17.001,12021,2769,67,23831497
17.201,13294,2776,67,24663814
17.401,14334,2782,32,6168606
17.601,14610,2806,35,2185368
17.801,14998,3642,67,2868666
18.001,15134,4758,67,5294594
18.201,15394,5748,67,6405868
18.401,15709,6538,67,7255762
18.601,16058,7321,67,8031356
18.801,16432,8163,67,8519834
19.001,16733,8987,67,8837238
19.201,17065,9756,67,9240835
19.401,17400,10512,67,9679086
19.601,17745,11212,67,10081043
19.801,18107,11784,67,10526936
20.001,18519,12347,67,10997207
20.201,19028,12786,67,11155013
20.401,19562,13307,67,11320593
20.601,20148,13756,67,11790464
20.801,20763,14165,67,12754199
21.001,21312,14649,67,13913080
21.201,21696,15046,56,12318404
21.401,22088,15535,54,12081924
21.601,22360,15907,40,11150172
21.801,22559,16332,36,11101521
22.001,22711,16532,32,7938688
22.201,22956,16720,30,7881267
22.401,23246,16867,27,7931197
22.601,23489,16957,22,7320233
22.801,23704,17007,18,6308316
23.001,23888,17041,15,4394727
23.201,24075,17062,13,4232131
23.401,24247,17071,10,3509136
23.601,24362,17079,9,3362852
23.801,24463,17087,8,3176806
24.001,24545,17088,7,2247007
24.201,24625,17088,7,2247007
24.401,24685,17094,5,1697149
24.601,24725,17094,5,1697149
24.801,25087,17190,36,3259098
25.001,25446,17336,27,3158328
25.201,25695,17417,21,3758985
25.401,25957,17453,16,4470558
25.601,26135,17467,11,4278390
25.801,26279,17469,8,3530538
26.001,26374,17471,7,2673664
26.201,26421,17471,5,1924387
26.401,26477,17477,5,1902756
26.601,26511,17477,3,1687722
26.801,26531,17477,3,1687722
27.001,26551,17477,3,1687722
27.201,26571,17477,3,1719060
27.401,26591,17477,3,1719060
27.601,26611,17477,3,1719060
27.801,26625,17483,3,1764225
28.001,26849,17563,34,5416506
28.201,27171,17784,31,4119857
28.401,27377,18044,23,4790342
28.601,27510,18190,19,4046877
28.801,27742,18253,16,4506942
29.001,27884,18285,11,3908308
29.201,28003,18309,9,3329203
29.401,28105,18325,7,2586479
29.601,28190,18340,7,3292060
29.801,28259,18354,6,3517604
30.001,28311,18365,4,3425532
30.201,28343,18373,4,3432194
30.401,28373,18383,4,3432194
30.601,28405,18392,4,3432194
30.801,28435,18401,4,3432194
31.001,28467,18409,4,3762052
31.201,28499,18417,4,3762052
31.401,28531,18425,4,3762052
31.601,28547,18436,3,2569198
31.801,28559,18444,3,2581631
32.001,28572,18451,3,2595357
32.201,28585,18458,3,2595357
32.401,28597,18466,3,2595357
32.601,28610,18473,3,2595357
32.801,28620,18482,3,2719120
33.001,28632,18491,3,2760348
33.201,28648,18495,3,2760348
33.401,28661,18502,3,2760348
33.601,28673,18509,3,2760348
33.801,28687,18516,3,2836932
34.001,28698,18525,3,2851299
34.201,28710,18533,3,2851299
34.401,28723,18540,3,2947718
34.601,28734,18548,3,3085005
34.801,28747,18556,3,3085005
35.001,28759,18564,3,3184571
35.201,28771,18572,3,3184571
35.401,28784,18579,3,3243461
35.601,28796,18586,3,3243461
35.801,28809,18594,3,3243461
36.001,28822,18601,3,3282785
36.201,28833,18610,3,3375947
36.401,28845,18618,3,3398590
36.601,28858,18625,3,3398590
36.801,28871,18631,3,3413448
37.001,28885,18638,3,3614285
37.201,28898,18645,3,3614285
37.401,28912,18650,3,3614285
37.601,28932,18650,3,3614285
37.801,28952,18650,3,3624174
38.001,28972,18650,3,3638120
38.201,28992,18650,3,3638120
38.401,29012,18650,3,3797098
38.601,29032,18651,3,3797098
38.801,29052,18651,3,3797098
39.001,29072,18651,3,3881577
39.201,29092,18651,3,3887899
39.401,29112,18651,3,3952540
39.601,29132,18651,3,3952540
39.801,29152,18651,3,3952540
40.001,29172,18651,3,4264655
40.201,29192,18651,3,4360875
40.401,29212,18651,3,4472354
40.601,29232,18651,3,4479307
40.801,29252,18651,3,4538619
41.001,29271,18651,3,4787706
41.201,29291,18651,3,4787706
41.401,29311,18651,3,4870691
41.601,29331,18651,3,4870691
41.801,29351,18651,3,4880089
42.001,29371,18651,3,5078701
42.201,29391,18651,3,5289115
42.401,29411,18651,3,5345811
42.601,29431,18651,3,5345811
42.801,29451,18651,3,5345811
43.001,29471,18651,3,5635414
43.201,29491,18651,3,5635414
43.401,29511,18651,3,5678475
43.601,29531,18651,3,5678475
43.801,29550,18652,3,5722979
44.001,29570,18652,3,5942260
44.201,29590,18652,3,6037438
44.401,29610,18652,3,6190144
44.601,29630,18652,3,6279271
44.801,29650,18652,3,6546311
45.001,29669,18653,3,6546311
45.201,29689,18653,3,6613888
45.401,29709,18653,3,6700671
45.601,29729,18653,3,6700671
45.801,29749,18653,3,6755805
46.001,29769,18653,3,7034027
46.201,29789,18653,3,7034027
46.401,29809,18653,3,7128905
46.601,29829,18653,3,7128905
46.801,29849,18653,3,7128905
47.001,29869,18653,3,7329631
47.201,29889,18653,3,7376890
47.401,29909,18653,3,7523956
47.601,29929,18653,3,7523956
47.801,29949,18653,3,7714433
48.001,29969,18653,3,7934185
48.201,29989,18653,3,8007783
48.401,30009,18653,3,8099314
48.601,30029,18653,3,8099314
48.801,30049,18653,3,8099314
49.001,30069,18653,3,8292326
49.201,30089,18653,3,8397072
49.401,30108,18654,3,8397072
49.601,30128,18654,3,8397072
49.801,30148,18654,3,8404636
50.001,30168,18654,3,8751577
50.201,30188,18654,3,8751577
50.401,30208,18654,3,8810628
50.601,30228,18654,3,8858107
50.801,30246,18656,3,8858107
51.001,30246,18676,3,9058743
51.201,30246,18696,3,9281891
51.401,30246,18716,3,9281891
51.601,30318,18751,8,1918438
51.801,30392,18766,5,4309314
52.001,30431,18769,4,4883130
52.201,30455,18769,3,3017931
52.401,30474,18770,3,3017931
52.601,30675,18965,65,9097848
52.801,31107,19733,65,11369708
53.001,31516,20506,65,12925766
53.201,32082,21172,65,14147617
53.401,32624,21839,65,17848937
53.601,33206,22504,65,21985413
53.801,33760,23056,41,11544306
54.001,33983,23403,22,6575770
54.201,34129,23571,13,3395999
54.401,34221,23643,7,2616073
54.601,34264,23679,4,2150360
54.801,34286,23699,3,2118722
55.001,34308,23716,3,2131286
55.201,34328,23737,3,2131286
55.401,34343,23745,2,1534837
55.601,34353,23755,2,1534837
55.801,34364,23764,2,1534837
56.001,34375,23773,2,1547190
56.201,34385,23783,2,1557760
56.401,34396,23792,2,1656206
56.601,34408,23800,2,1768307
56.801,34419,23809,2,1783295
57.001,34429,23819,2,1783295
57.201,34439,23829,2,1783295
57.401,34451,23837,2,1792873
57.601,34464,23844,2,1792873
57.801,34476,23852,2,1876408
58.001,34488,23860,2,2097542
58.201,34498,23870,2,2097542
58.401,34509,23879,2,2097542
58.601,34522,23886,2,2097542
58.801,34534,23894,2,2208129
59.001,34546,23902,2,2217256
59.201,34557,23911,2,2217256
59.401,34570,23918,2,2231202
59.601,34583,23925,2,2393568
59.801,34598,23930,2,2409728
60.001,34609,23938,2,2535273
60.201,34629,23939,2,2535273
60.401,34641,23946,2,2535273
60.601,34654,23954,2,2535273
60.801,34665,23962,2,2687288
61.001,34679,23969,2,2687288
61.201,34691,23977,2,2828664
61.401,34704,23984,2,2881594
61.601,34716,23992,2,2881594
61.801,34729,23999,2,2902173
62.001,34742,24006,2,2956014
62.201,34754,24014,2,2956014
62.401,34766,24021,2,2956014
62.601,34779,24029,2,3021287
62.801,34793,24035,2,3036847
63.001,34805,24043,2,3106679
63.201,34818,24050,2,3226965
63.401,34831,24057,2,3226965
63.601,34845,24063,2,3226965
63.801,34858,24070,1,1314365
64.001,34871,24077,1,1314365
64.201,34886,24082,1,1314365
64.401,34888,24100,1,1314365
64.601,34889,24119,1,1314365
64.801,34890,24138,1,1314365
65.001,34890,24157,1,1314365
65.201,34891,24177,1,1314365
65.401,34891,24197,1,1314365
65.601,34891,24217,1,1620920
65.801,34891,24237,1,1620920
66.001,34891,24257,1,1651156
66.201,35240,24280,67,5371071
66.401,36503,24297,67,6062588
66.601,37778,24302,67,6291178
66.801,39053,24307,67,6411664
67.001,40328,24311,67,6974681
67.201,41603,24316,62,6952289
67.401,42094,24322,67,3244793
67.601,43145,24477,67,4981207
67.801,44138,24618,67,5352981
68.001,45215,24710,67,6244054
68.201,46306,24827,67,6792011
68.401,47335,24956,67,7260007
68.601,48351,25098,67,10270995
68.801,49260,25240,67,12027760
